SK_ID_CURR,CODE_GENDER,EXT_SOURCE_2,EXT_SOURCE_3,FLAG_OWN_REALTY,FLAG_PHONE,NAME_FAMILY_STATUS,FLAG_DOCUMENT_3,REG_CITY_NOT_WORK_CITY,FLAG_OWN_CAR,NAME_EDUCATION_TYPE,REGION_RATING_CLIENT_W_CITY,FLAG_WORK_PHONE,CNT_CHILDREN,prevapp_NFLAG_INSURED_ON_APPROVAL_max,OCCUPATION_TYPE
384575,M,0.6048943383603742,0.0005272652387098,N,0,Married,1,1,Y,Secondary / secondary special,2,0,2,0.0,Sales staff
214010,F,0.4253505221468029,0.7121551551910698,Y,0,Single / not married,1,0,Y,Higher education,3,0,0,1.0,Managers
142232,F,0.5317599965307688,0.2079641743053816,N,0,Married,1,0,Y,Secondary / secondary special,2,1,0,0.0,Sales staff
389171,F,0.6935206274920988,0.6144143775673561,Y,0,Widow,1,0,N,Secondary / secondary special,1,0,0,0.0,High skill tech staff
283617,M,0.5606898594049499,0.6363761710860439,Y,0,Single / not married,1,0,N,Secondary / secondary special,2,0,0,1.0,Laborers
362171,M,0.5191266804311161,0.1047946227497676,Y,1,Married,1,0,N,Secondary / secondary special,2,0,0,1.0,
180689,F,0.5479626352655883,,N,1,Married,1,0,N,Secondary / secondary special,2,0,1,,
310328,M,0.0125875656953968,0.4902575124990026,Y,0,Single / not married,0,0,Y,Secondary / secondary special,2,1,0,,Laborers
233043,F,0.077534911185021,0.633031641417419,Y,0,Married,1,0,N,Secondary / secondary special,2,0,0,1.0,
232220,F,0.7400816968755699,,Y,0,Separated,1,0,N,Secondary / secondary special,2,0,1,1.0,Laborers
134561,F,0.4127344161068856,0.6397075677637197,N,0,Married,1,0,N,Secondary / secondary special,3,1,4,0.0,Sales staff
120952,M,0.4530704545682325,0.2431864804420123,Y,0,Married,1,0,Y,Secondary / secondary special,2,0,0,0.0,Laborers
188909,F,0.5746638509651143,0.180887977767074,N,0,Widow,0,0,N,Secondary / secondary special,2,0,0,1.0,
347275,M,0.6229959372837893,0.3328505641648731,Y,0,Married,0,0,Y,Secondary / secondary special,2,0,2,0.0,Core staff
250804,M,0.5128407971420282,0.221335206354466,N,0,Single / not married,1,1,Y,Higher education,3,0,0,,High skill tech staff
348749,F,0.2440078209202131,0.2721336844147212,Y,0,Married,1,1,N,Secondary / secondary special,2,0,1,0.0,Laborers
231383,F,0.7838283816775964,0.6785676886853644,Y,1,Married,0,0,Y,Lower secondary,1,0,0,1.0,Accountants
119647,F,0.142870887589952,,Y,0,Married,1,1,N,Secondary / secondary special,2,0,0,0.0,Sales staff
257374,F,0.5404883358234642,,Y,1,Married,1,0,N,Secondary / secondary special,3,0,0,0.0,
305211,F,0.6572714882743836,0.4031416766587513,Y,0,Married,0,0,N,Higher education,2,0,0,1.0,
153812,F,0.3420278293317465,,Y,1,Civil marriage,0,0,N,Lower secondary,2,0,0,1.0,
149325,M,0.7081894379461231,0.3740208032583212,N,0,Married,0,0,Y,Incomplete higher,3,1,0,1.0,High skill tech staff
404667,F,0.344477840791565,,N,0,Married,0,0,N,Higher education,3,0,1,,Sales staff
114238,F,0.1173011930750817,0.190705947811054,Y,0,Married,1,0,Y,Higher education,2,0,1,0.0,
373414,F,0.4093357995240928,0.3589512285783967,Y,0,Married,1,0,N,Secondary / secondary special,2,0,0,1.0,Sales staff
188388,F,0.5549077290439568,0.1997705696341145,N,0,Married,1,1,Y,Higher education,2,0,0,1.0,Accountants
231929,F,0.360396242872698,,Y,0,Married,1,1,Y,Secondary / secondary special,1,0,1,0.0,Laborers
288831,F,0.6435746820189508,0.5082869913916046,Y,0,Civil marriage,1,0,N,Secondary / secondary special,2,0,2,0.0,Sales staff
111556,M,0.2265068731262381,0.5549467685334323,Y,0,Separated,1,1,Y,Secondary / secondary special,2,0,2,1.0,Laborers
199643,F,0.6180836881053707,0.7981372313187245,N,0,Civil marriage,1,0,N,Higher education,2,1,2,0.0,Accountants
120657,F,0.2918181951717679,0.3425288720742255,Y,0,Married,1,0,N,Higher education,2,0,2,0.0,
439579,F,0.6753357647890695,,Y,0,Married,0,0,N,Secondary / secondary special,2,0,0,1.0,
361223,F,0.1447475472488587,0.6738300778602003,Y,0,Married,0,0,N,Higher education,2,0,0,1.0,
